County,School District,fips,Graduation Rate,Recreational Status,first.treat,year,FRL_eligible_number,Total_student,FRL_eligible_percent,American Indian or Alaska Native,Asian,Hispanic/Latino,Black or African American,White,Native Hawaiian or Other Pacific Islander,Two or more races,Male,Female,TOTAL_ENROLLMENT
Lincoln County,Lincoln,32017,89.4,0,0,2017,1048,2114.0446323248,0.495732201664788,0.0106284658040665,0.00924214417744917,0.0993530499075785,0.0656192236598891,0.788817005545287,0.00600739371534196,0.0203327171903882,0.549907578558226,0.450092421441774,5435
Lincoln County,Lincoln,32017,86.1,0,0,2016,1014,2169.94515037633,0.467292917438094,0.0101382488479263,0.00737327188940092,0.141013824884793,0.0894009216589862,0.727188940092166,0.0119815668202765,0.0129032258064516,0.553917050691244,0.446082949308756,5425
Lincoln County,Lincoln,32017,82.4,0,0,2015,998,1993.04885420906,0.500740359621569,0.0119284294234592,0.00795228628230616,0.115308151093439,0.0825049701789265,0.762425447316103,0.00596421471172962,0.0139165009940358,0.563618290258449,0.436381709741551,0
Lincoln County,Lincoln,32017,72.6,0,0,2014,991,2011.04482555507,0.492778672761047,0.0108374384236453,0.00689655172413793,0.102463054187192,0.0738916256157636,0.785221674876847,0.00591133004926109,0.0147783251231527,0.556650246305419,0.443349753694581,0
Lyon County,Lyon,32019,74.7,1,2017,2014,8008,16129.2667906973,0.496488780545109,0.0336550358822074,0.00952734471665429,0.247587230883445,0.00816629547141797,0.64229151200198,0.00371195248700817,0.0550606285572878,0.513857955951497,0.486142044048503,0
Lyon County,Lyon,32019,88,1,2017,2020,8861,17622.5669091713,0.502821186361249,0.034863945578231303,0.0105442176870748,0.270068027210884,0.00839002267573696,0.613151927437642,0.00668934240362812,0.0562925170068027,0.517857142857143,0.482142857142857,44103
Lyon County,Lyon,32019,86.6,1,2017,2019,7628,18058.850319458,0.422396767516313,0.0326952865678247,0.0110643947776057,0.266596592166409,0.00857490595264439,0.621431732684222,0.0066386368665634,0.0529984509847311,0.513553883602567,0.486446116397433,45194
Lyon County,Lyon,32019,86.5,1,2017,2018,10816,18121.7567012446,0.596851628587263,0.0352759892135821,0.0118870728083209,0.267459138187221,0.00864014088382588,0.62258543833581,0.00643883110450718,0.0477133894667327,0.512354851136426,0.487645148863574,45447
Lyon County,Lyon,32019,84.8,1,2017,2017,10598,17843.1096425833,0.593954765300967,0.0363423212192263,0.00971361580974711,0.256517612906827,0.00714564841176799,0.644280690001675,0.00653156925138168,0.0394685423993748,0.514654161781946,0.485345838218054,44812
Lyon County,Lyon,32019,83.6,1,2017,2016,9251,16685.9044234251,0.554420052113725,0.0385721130809775,0.00898418782942022,0.259463344513656,0.00682798275035937,0.657762338284619,0.00622903689506469,0.0221609966459032,0.510421657882128,0.489578342117873,41740
Lyon County,Lyon,32019,81.3,1,2017,2015,9393,16244.5228225856,0.578225664279928,0.0365358592692828,0.00898019436585066,0.251568458604994,0.0070119325870340796,0.633903309140116,0.0040595399188092,0.0579407061139132,0.5133472751876,0.4866527248124,0
Mineral County,Mineral,32021,88.9,0,0,2020,1144,1144,1,0.132867132867133,0.00524475524475525,0.194055944055944,0.020979020979021,0.576923076923077,0.0034965034965035,0.0664335664335664,0.512237762237762,0.487762237762238,2860
Mineral County,Mineral,32021,91.7,0,0,2019,871,998.01652892562,0.872731036767141,0.132519616390584,0.003487358326068,0.19180470793374,0.027898866608544,0.571054925893636,0.00871839581517001,0.0645161290322581,0.543156059285092,0.456843940714909,2879
Mineral County,Mineral,32021,85,0,0,2018,662,1164.07473085311,0.568692011306562,0.136824324324324,0.0118243243243243,0.17652027027027,0.0304054054054054,0.575168918918919,0.00675675675675676,0.0625,0.530405405405405,0.469594594594595,2970
Mineral County,Mineral,32021,89.3,0,0,2017,596,1130.02470607686,0.527422096875342,0.129340277777778,0.00520833333333333,0.173611111111111,0.0329861111111111,0.600694444444445,0.00173611111111111,0.0564236111111111,0.526041666666667,0.473958333333333,2891
Mineral County,Mineral,32021,84.4,0,0,2016,530,1035.9986888744,0.511583659025514,0.156370656370656,0.00772200772200772,0.171814671814672,0.028957528957529,0.573359073359073,0.00193050193050193,0.0598455598455599,0.517374517374517,0.482625482625483,2590
Mineral County,Mineral,32021,74.2,0,0,2015,559,1005.98573501601,0.555673883378776,0.178217821782178,0.00594059405940594,0.18019801980198,0.0455445544554455,0.546534653465347,0.00198019801980198,0.0415841584158416,0.512871287128713,0.487128712871287,0
Mineral County,Mineral,32021,88.9,0,0,2014,496,943.002495886022,0.525979519846308,0.160751565762004,0.0125260960334029,0.160751565762004,0.0438413361169102,0.574112734864301,0.00208768267223382,0.0459290187891441,0.51356993736952,0.48643006263048,0
Carson City,Nevada State Public Charter School Authority,32510,86.9,0,0,2020,9255,15286.9717232232,0.605417486704727,0.0221468347948537,0.017666261281444,0.442232605773539,0.006848876656212,0.460474940792421,0.00281636049414325,0.0478141202073866,0.507008897138834,0.492991102861166,39082
Carson City,Nevada State Public Charter School Authority,32510,84.1,0,0,2019,10015,15982.1030411128,0.626638432641631,0.0213429549902153,0.0177348336594912,0.426675636007828,0.00703277886497065,0.478351272015656,0.00262964774951076,0.0462328767123288,0.511374755381605,0.488625244618395,40923
Carson City,Nevada State Public Charter School Authority,32510,77.8,0,0,2018,9509,15980.7158553233,0.595029664884034,0.0225660469667319,0.0184686888454012,0.42575831702544,0.00629892367906067,0.476761252446184,0.00226272015655577,0.0478840508806262,0.509601272015656,0.490398727984344,40925
Carson City,Nevada State Public Charter School Authority,32510,70,0,0,2017,7330,16170.4594183113,0.453295717232348,0.0232343721187535,0.0188087774294671,0.418280164730469,0.00553199336160797,0.486139283299527,0.00227426393754994,0.0457311451226259,0.513307517364313,0.486692482635688,40722
Carson City,Nevada State Public Charter School Authority,32510,65.3,0,0,2016,8152,15908.1130273976,0.512442926823582,0.0215000617817867,0.0184109724453231,0.418386259730631,0.00704312368713703,0.493389348819968,0.00271839861608798,0.0385518349190659,0.512541702706042,0.487458297293958,40465
Carson City,Nevada State Public Charter School Authority,32510,58.6,0,0,2015,5496,14217.3087322896,0.386571052474774,0.0209370611515384,0.0178731009830206,0.418741223030767,0.00625558534405719,0.496872207327971,0.00242563513340993,0.0368951870292353,0.511043023107366,0.488956976892634,0
Carson City,Nevada State Public Charter School Authority,32510,60,0,0,2014,7636,15296.0098528114,0.499215159605597,0.0233716475095785,0.0187739463601533,0.41507024265645,0.00587484035759898,0.499616858237548,0.00293742017879949,0.0343550446998723,0.514303959131545,0.485696040868455,0
Nye County,Nye,32023,83.1,1,2017,2020,10556,10658.7717112508,0.990358015535477,0.0124685958872243,0.0115381036568345,0.307341583697776,0.0348004094165814,0.557085698334419,0.0104215129803666,0.0663440960267982,0.512515120498744,0.487484879501256,26888
Nye County,Nye,32023,77.3,1,2017,2019,11022,11115.9597255111,0.991547313247686,0.0151407827164866,0.0126615902248982,0.295023906499026,0.0377191429077386,0.570834071188242,0.0115105365680893,0.0571099698955197,0.509739684788383,0.490260315211617,28300
Nye County,Nye,32023,80,1,2017,2018,8673,10706.2138487084,0.810090301068133,0.0130863514883421,0.0121647774398673,0.283107547691457,0.0331766657450926,0.595705464934108,0.0112432033913925,0.051515989309741,0.517924615242835,0.482075384757165,27186
Nye County,Nye,32023,80,1,2017,2017,8170,10395.8870618284,0.785887721885572,0.0136325697857739,0.0147454326254289,0.275989984234443,0.0299545581007141,0.61596958174905,0.0117777983863489,0.0379300751182417,0.51219512195122,0.487804878048781,27008
Nye County,Nye,32023,79.3,1,2017,2016,6488,9835.80740614566,0.659630646686528,0.0155007949125596,0.0149046104928458,0.264705882352941,0.0329888712241653,0.627384737678855,0.0125198728139905,0.0319952305246423,0.509936406995231,0.49006359300477,25160
Nye County,Nye,32023,68.9,1,2017,2015,5654,9799.16221530179,0.57698810120431,0.0169591796489844,0.0147899822520213,0.258331690001972,0.0283967659238809,0.638335633997239,0.0153815815421022,0.0278051666338,0.516663380003944,0.483336619996056,0
Nye County,Nye,32023,69.2,1,2017,2014,6552,9972.13212085302,0.65703100606729,0.0187693498452012,0.0147058823529412,0.250580495356037,0.0344427244582043,0.646865325077399,0.0137383900928793,0.0208978328173375,0.525348297213622,0.474651702786378,0
Pershing County,Pershing,32027,94.1,0,0,2020,939,1272.96936601914,0.737645402211414,0.0836591086786552,0.00469116497263487,0.347146207974981,0.0125097732603597,0.467552775605942,0.00156372165754496,0.0828772478498827,0.530101641907741,0.46989835809226,3200
Pershing County,Pershing,32027,94.9,0,0,2019,774,1347.95078504983,0.574204940257808,0.0845697329376855,0.0029673590504451,0.323442136498516,0.00890207715133531,0.502967359050445,0.0029673590504451,0.0741839762611276,0.513353115727003,0.486646884272997,3370
Pershing County,Pershing,32027,94.5,0,0,2018,800,1316.00817953805,0.607898957194036,0.0896656534954407,0.0060790273556231,0.343465045592705,0.00455927051671733,0.484802431610942,0.00455927051671733,0.0668693009118541,0.501519756838906,0.498480243161094,3290
Pershing County,Pershing,32027,95,0,0,2017,728,1334.05681350475,0.545703895539085,0.0958302852962692,0.00292611558156547,0.319678127286028,0.021945866861741,0.503291880029261,0.00512070226773958,0.0512070226773958,0.506217995610827,0.493782004389173,3434
Pershing County,Pershing,32027,95,0,0,2016,428,1254.0219547102,0.341301839567002,0.0829346092503987,0.00478468899521531,0.331738437001595,0.0191387559808612,0.513556618819777,0.00478468899521531,0.0430622009569378,0.521531100478469,0.478468899521531,3135
Pershing County,Pershing,32027,83.3,0,0,2015,692,1297.99837200764,0.53312855772667,0.0801232665639445,0.00308166409861325,0.314329738058552,0.0061633281972265,0.520801232665639,0.00462249614791988,0.0708782742681048,0.519260400616333,0.480739599383667,0
Pershing County,Pershing,32027,83.3,0,0,2014,680,1372.01029802719,0.495623102084418,0.0679190751445087,0.00144508670520231,0.303468208092486,0.00433526011560694,0.544797687861272,0.00289017341040462,0.0751445086705202,0.515895953757226,0.484104046242775,0
Storey County,Storey,32029,95,0,0,2020,292,896.016326482863,0.325886918987502,0.00446428571428571,0.00892857142857143,0.104910714285714,0.0111607142857143,0.828125,0.00223214285714286,0.0401785714285714,0.484375,0.515625,2240
Storey County,Storey,32029,85,0,0,2019,254,897.915859957416,0.282877284305955,0.0022271714922049,0.0066815144766147,0.0979955456570156,0.0089086859688196,0.839643652561247,0.0022271714922049,0.0423162583518931,0.478841870824054,0.521158129175947,2245
Storey County,Storey,32029,83.9,0,0,2018,266,920.023755075494,0.289122969415255,0.00434782608695652,0.0108695652173913,0.1,0.00869565217391304,0.836956521739131,0.00652173913043478,0.0326086956521739,0.504347826086957,0.495652173913044,2300
Storey County,Storey,32029,94.1,0,0,2017,294,886.027147788118,0.33181827524579,0.0158013544018059,0.0158013544018059,0.0790067720090294,0.0090293453724605,0.846501128668172,0.00451467268623025,0.0293453724604966,0.514672686230248,0.485327313769752,2215
Storey County,Storey,32029,90.6,0,0,2016,242,850.047372266359,0.284690015986745,0.00941176470588235,0.0164705882352941,0.0917647058823529,0.00941176470588235,0.830588235294118,0.00705882352941177,0.0352941176470588,0.529411764705882,0.470588235294118,2125
Storey County,Storey,32029,95,0,0,2015,300,821.963573441443,0.36497967755912,0.0121654501216545,0.0194647201946472,0.111922141119221,0.0024330900243309,0.81021897810219,0.0072992700729927,0.0364963503649635,0.523114355231144,0.476885644768856,0
Storey County,Storey,32029,80,0,0,2014,34,443.948708647361,0.07658542380626,0.0199004975124378,0.0199004975124378,0.109452736318408,0.00746268656716418,0.800995024875622,0.0124378109452736,0.0298507462686567,0.552238805970149,0.447761194029851,0
Washoe County,Washoe,32031,82.5,1,2017,2020,57798,121159.419275177,0.477040913085999,0.0123637822986448,0.0448399345537616,0.417003673633192,0.0257154323464946,0.424420399469021,0.0136912295866391,0.0619655481122465,0.516593091099929,0.483406908900071,324132
Washoe County,Washoe,32031,85.1,1,2017,2019,65450,127681.922255905,0.512601931766209,0.0122673966926862,0.0438977470311864,0.410069919721801,0.0251637009359624,0.433798231659946,0.0130442824904739,0.0617587214679442,0.51773149347046,0.48226850652954,338164
Washoe County,Washoe,32031,86,1,2017,2018,61529,130764.463279571,0.470533036704724,0.0131177479343444,0.0434956905191421,0.408439307216617,0.0246245443679799,0.437013281070206,0.0128876120056717,0.0604218168860382,0.51858533217523,0.48141466782477,336996
Washoe County,Washoe,32031,84.4,1,2017,2017,29517,66278.1315564871,0.445350514669283,0.0133962404339104,0.0435173489858088,0.40512668103128,0.02373876216658,0.442989820937663,0.0120142655472175,0.0592168808975407,0.518626941080318,0.481373058919682,336749
Washoe County,Washoe,32031,84,1,2017,2016,60481,130435.26033417,0.463685968388074,0.0144740591861529,0.0439621424607401,0.400878942868714,0.0235484693494923,0.447570907890987,0.0113092648977816,0.0582562133461325,0.52073615215011,0.47926384784989,333355
Washoe County,Washoe,32031,76.6,1,2017,2015,38777,117622.457497584,0.329673438431573,0.0152923132443161,0.0438169132683748,0.397224227114159,0.0225550342836521,0.45225851076627,0.0113827739684831,0.0574702273547456,0.520660411403825,0.479339588596175,0
Washoe County,Washoe,32031,75,1,2017,2014,61685,128740.947243338,0.479140485764849,0.016168813373527,0.0443804999847751,0.394476416674279,0.0233092780366006,0.456426418196766,0.0105660607167869,0.054672513017265,0.518757041502999,0.481242958497001,0
White Pine County,White Pine,32033,83.8,1,2017,2020,1808,2405.9433690696,0.751472384281084,0.0368248772504092,0.00204582651391162,0.189034369885434,0.0106382978723404,0.703355155482815,0.0016366612111293,0.0564648117839607,0.511865793780688,0.488134206219313,6116
White Pine County,White Pine,32033,82.9,1,2017,2019,1151,2436.96414955846,0.472308958754499,0.0382663022256931,0.00234283483014448,0.175712612260836,0.0101522842639594,0.715736040609137,0.00312377977352597,0.0546661460367044,0.50800468566966,0.49199531433034,6409
White Pine County,White Pine,32033,66.9,1,2017,2018,1627,3284.75646760153,0.495318303212904,0.0326283987915408,0.00966767371601208,0.163141993957704,0.0646525679758308,0.674320241691843,0.00785498489425982,0.0477341389728097,0.501510574018127,0.498489425981873,8275
White Pine County,White Pine,32033,66.9,1,2017,2017,1030,3286.57624246579,0.313396046223236,0.0296675191815857,0.0173913043478261,0.159079283887468,0.101790281329923,0.642966751918159,0.0107416879795396,0.0383631713554987,0.489514066496164,0.510485933503836,9775
White Pine County,White Pine,32033,69.9,1,2017,2016,1007,2516.12654381119,0.400218344533138,0.037410071942446,0.00935251798561151,0.161151079136691,0.0453237410071943,0.702158273381295,0.00431654676258993,0.0402877697841727,0.500719424460432,0.499280575539568,6950
White Pine County,White Pine,32033,83.1,1,2017,2015,884,2366.03038118901,0.373621576049146,0.0444624090541633,0.00485044462409054,0.150363783346807,0.0113177041228779,0.735650767987066,0.00242522231204527,0.0509296685529507,0.504446240905416,0.495553759094584,0
White Pine County,White Pine,32033,77,1,2017,2014,798,2383.05669968191,0.334864042515864,0.048605577689243,0.00637450199203187,0.140239043824701,0.0047808764940239,0.744223107569721,0.00239043824701195,0.0533864541832669,0.50996015936255,0.49003984063745,0
