County,School District,fips,Graduating Class,Graduation Rate,,,,,,,,,,,,,,,,,,,,,,
Carson City,Carson City,32510,2020-2021,85.7,,,,,,,,,,,,,,,,,,,,,,
Carson City,Carson City,32510,2019-2020,84,,,,,,,,,,,,,,,,,,,,,,
Carson City,Carson City,32510,2018-2019,86.8,,,,,,,,,,,,,,,,,,,,,,
Carson City,Carson City,32510,2017-2018,86,,,,,,,,,,,,,,,,,,,,,,
Carson City,Carson City,32510,2016-2017,83.9,,,,,,,,,,,,,,,,,,,,,,
Carson City,Carson City,32510,2015-2016,80.3,,,,,,,,,,,,,,,,,,,,,,
Carson City,Carson City,32510,2014-2015,74.3,,,,,,,,,,,,,,,,,,,,,,
Churchill County,Churchill,32001,2020-2021,79.9,,,,,,,,,,,,,,,,,,,,,,
Churchill County,Churchill,32001,2019-2020,76.9,,,,,,,,,,,,,,,,,,,,,,
Churchill County,Churchill,32001,2018-2019,72.9,,,,,,,,,,,,,,,,,,,,,,
Churchill County,Churchill,32001,2017-2018,76,,,,,,,,,,,,,,,,,,,,,,
Churchill County,Churchill,32001,2016-2017,73.3,,,,,,,,,,,,,,,,,,,,,,
Churchill County,Churchill,32001,2015-2016,59.7,,,,,,,,,,,,,,,,,,,,,,
Churchill County,Churchill,32001,2014-2015,67.2,,,,,,,,,,,,,,,,,,,,,,
Clark County,Clark,32003,2020-2021,80.9,,,,,,,,,,,,,,,,,,,,,,
Clark County,Clark,32003,2019-2020,83.2,,,,,,,,,,,,,,,,,,,,,,
Clark County,Clark,32003,2018-2019,85.8,,,,,,,,,,,,,,,,,,,,,,
Clark County,Clark,32003,2017-2018,85.2,,,,,,,,,,,,,,,,,,,,,,
Clark County,Clark,32003,2016-2017,83.2,,,,,,,,,,,,,,,,,,,,,,
Clark County,Clark,32003,2015-2016,74.9,,,,,,,,,,,,,,,,,,,,,,
Clark County,Clark,32003,2014-2015,72.1,,,,,,,,,,,,,,,,,,,,,,
Douglas County,Douglas,32005,2020-2021,84.5,,,,,,,,,,,,,,,,,,,,,,
Douglas County,Douglas,32005,2019-2020,88.9,,,,,,,,,,,,,,,,,,,,,,
Douglas County,Douglas,32005,2018-2019,91.3,,,,,,,,,,,,,,,,,,,,,,
Douglas County,Douglas,32005,2017-2018,88.8,,,,,,,,,,,,,,,,,,,,,,
Douglas County,Douglas,32005,2016-2017,87.5,,,,,,,,,,,,,,,,,,,,,,
Douglas County,Douglas,32005,2015-2016,88.3,,,,,,,,,,,,,,,,,,,,,,
Douglas County,Douglas,32005,2014-2015,90.2,,,,,,,,,,,,,,,,,,,,,,
Elko County,Elko,32007,2020-2021,79.7,,,,,,,,,,,,,,,,,,,,,,
Elko County,Elko,32007,2019-2020,82.5,,,,,,,,,,,,,,,,,,,,,,
Elko County,Elko,32007,2018-2019,83.8,,,,,,,,,,,,,,,,,,,,,,
Elko County,Elko,32007,2017-2018,91.8,,,,,,,,,,,,,,,,,,,,,,
Elko County,Elko,32007,2016-2017,88.5,,,,,,,,,,,,,,,,,,,,,,
Elko County,Elko,32007,2015-2016,85.1,,,,,,,,,,,,,,,,,,,,,,
Elko County,Elko,32007,2014-2015,80,,,,,,,,,,,,,,,,,,,,,,
Esmeralda County,Esmeralda,32009,2020-2021,NA,,,,,,,,,,,,,,,,,,,,,,
Eureka County,Eureka,32011,2020-2021,73.3,,,,,,,,,,,,,,,,,,,,,,
Eureka County,Eureka,32011,2019-2020,90.9,,,,,,,,,,,,,,,,,,,,,,
Eureka County,Eureka,32011,2018-2019,93.3,,,,,,,,,,,,,,,,,,,,,,
Eureka County,Eureka,32011,2017-2018,>95,,,,,,,,,,,,,,,,,,,,,,
Eureka County,Eureka,32011,2016-2017,>95,,,,,,,,,,,,,,,,,,,,,,
Eureka County,Eureka,32011,2015-2016,>95,,,,,,,,,,,,,,,,,,,,,,
Eureka County,Eureka,32011,2014-2015,>95,,,,,,,,,,,,,,,,,,,,,,
Humboldt County,Humboldt,32013,2020-2021,94.2,,,,,,,,,,,,,,,,,,,,,,
Humboldt County,Humboldt,32013,2019-2020,91.3,,,,,,,,,,,,,,,,,,,,,,
Humboldt County,Humboldt,32013,2018-2019,86.1,,,,,,,,,,,,,,,,,,,,,,
Humboldt County,Humboldt,32013,2017-2018,90.6,,,,,,,,,,,,,,,,,,,,,,
Humboldt County,Humboldt,32013,2016-2017,89.5,,,,,,,,,,,,,,,,,,,,,,
Humboldt County,Humboldt,32013,2015-2016,76.6,,,,,,,,,,,,,,,,,,,,,,
Humboldt County,Humboldt,32013,2014-2015,83,,,,,,,,,,,,,,,,,,,,,,
Lander County,Lander,32015,2020-2021,66.7,,,,,,,,,,,,,,,,,,,,,,
Lander County,Lander,32015,2019-2020,82,,,,,,,,,,,,,,,,,,,,,,
Lander County,Lander,32015,2018-2019,78.4,,,,,,,,,,,,,,,,,,,,,,
Lander County,Lander,32015,2017-2018,86.8,,,,,,,,,,,,,,,,,,,,,,
Lander County,Lander,32015,2016-2017,92.3,,,,,,,,,,,,,,,,,,,,,,
Lander County,Lander,32015,2015-2016,80.3,,,,,,,,,,,,,,,,,,,,,,
Lander County,Lander,32015,2014-2015,75.3,,,,,,,,,,,,,,,,,,,,,,
Lincoln County,Lincoln,32017,2020-2021,>95,,,,,,,,,,,,,,,,,,,,,,
Lincoln County,Lincoln,32017,2019-2020,94,,,,,,,,,,,,,,,,,,,,,,
Lincoln County,Lincoln,32017,2018-2019,87.8,,,,,,,,,,,,,,,,,,,,,,
Lincoln County,Lincoln,32017,2017-2018,89.4,,,,,,,,,,,,,,,,,,,,,,
Lincoln County,Lincoln,32017,2016-2017,86.1,,,,,,,,,,,,,,,,,,,,,,
Lincoln County,Lincoln,32017,2015-2016,82.4,,,,,,,,,,,,,,,,,,,,,,
Lincoln County,Lincoln,32017,2014-2015,72.6,,,,,,,,,,,,,,,,,,,,,,
Lyon County,Lyon,32019,2014-2015,74.7,,,,,,,,,,,,,,,,,,,,,,
Lyon County,Lyon,32019,2020-2021,88,,,,,,,,,,,,,,,,,,,,,,
Lyon County,Lyon,32019,2019-2020,86.6,,,,,,,,,,,,,,,,,,,,,,
Lyon County,Lyon,32019,2018-2019,86.5,,,,,,,,,,,,,,,,,,,,,,
Lyon County,Lyon,32019,2017-2018,84.8,,,,,,,,,,,,,,,,,,,,,,
Lyon County,Lyon,32019,2016-2017,83.6,,,,,,,,,,,,,,,,,,,,,,
Lyon County,Lyon,32019,2015-2016,81.3,,,,,,,,,,,,,,,,,,,,,,
Mineral County,Mineral,32021,2020-2021,88.9,,,,,,,,,,,,,,,,,,,,,,
Mineral County,Mineral,32021,2019-2020,91.7,,,,,,,,,,,,,,,,,,,,,,
Mineral County,Mineral,32021,2018-2019,85,,,,,,,,,,,,,,,,,,,,,,
Mineral County,Mineral,32021,2017-2018,89.3,,,,,,,,,,,,,,,,,,,,,,
Mineral County,Mineral,32021,2016-2017,84.4,,,,,,,,,,,,,,,,,,,,,,
Mineral County,Mineral,32021,2015-2016,74.2,,,,,,,,,,,,,,,,,,,,,,
Mineral County,Mineral,32021,2014-2015,88.9,,,,,,,,,,,,,,,,,,,,,,
Carson City,Nevada State Public Charter School Authority,32510,2020-2021,86.9,,,,,,,,,,,,,,,,,,,,,,
Carson City,Nevada State Public Charter School Authority,32510,2019-2020,84.1,,,,,,,,,,,,,,,,,,,,,,
Carson City,Nevada State Public Charter School Authority,32510,2018-2019,77.8,,,,,,,,,,,,,,,,,,,,,,
Carson City,Nevada State Public Charter School Authority,32510,2017-2018,70,,,,,,,,,,,,,,,,,,,,,,
Carson City,Nevada State Public Charter School Authority,32510,2016-2017,65.3,,,,,,,,,,,,,,,,,,,,,,
Carson City,Nevada State Public Charter School Authority,32510,2015-2016,58.6,,,,,,,,,,,,,,,,,,,,,,
Carson City,Nevada State Public Charter School Authority,32510,2014-2015,60,,,,,,,,,,,,,,,,,,,,,,
Nye County,Nye,32023,2020-2021,83.1,,,,,,,,,,,,,,,,,,,,,,
Nye County,Nye,32023,2019-2020,77.3,,,,,,,,,,,,,,,,,,,,,,
Nye County,Nye,32023,2018-2019,80,,,,,,,,,,,,,,,,,,,,,,
Nye County,Nye,32023,2017-2018,80,,,,,,,,,,,,,,,,,,,,,,
Nye County,Nye,32023,2016-2017,79.3,,,,,,,,,,,,,,,,,,,,,,
Nye County,Nye,32023,2015-2016,68.9,,,,,,,,,,,,,,,,,,,,,,
Nye County,Nye,32023,2014-2015,69.2,,,,,,,,,,,,,,,,,,,,,,
Pershing County,Pershing,32027,2020-2021,94.1,,,,,,,,,,,,,,,,,,,,,,
Pershing County,Pershing,32027,2019-2020,94.9,,,,,,,,,,,,,,,,,,,,,,
Pershing County,Pershing,32027,2018-2019,94.5,,,,,,,,,,,,,,,,,,,,,,
Pershing County,Pershing,32027,2017-2018,>95,,,,,,,,,,,,,,,,,,,,,,
Pershing County,Pershing,32027,2016-2017,>95,,,,,,,,,,,,,,,,,,,,,,
Pershing County,Pershing,32027,2015-2016,83.3,,,,,,,,,,,,,,,,,,,,,,
Pershing County,Pershing,32027,2014-2015,83.3,,,,,,,,,,,,,,,,,,,,,,
Storey County,Storey,32029,2020-2021,>95,,,,,,,,,,,,,,,,,,,,,,
Storey County,Storey,32029,2019-2020,85,,,,,,,,,,,,,,,,,,,,,,
Storey County,Storey,32029,2018-2019,83.9,,,,,,,,,,,,,,,,,,,,,,
Storey County,Storey,32029,2017-2018,94.1,,,,,,,,,,,,,,,,,,,,,,
Storey County,Storey,32029,2016-2017,90.6,,,,,,,,,,,,,,,,,,,,,,
Storey County,Storey,32029,2015-2016,>95,,,,,,,,,,,,,,,,,,,,,,
Storey County,Storey,32029,2014-2015,80,,,,,,,,,,,,,,,,,,,,,,
Washoe County,Washoe,32031,2020-2021,82.5,,,,,,,,,,,,,,,,,,,,,,
Washoe County,Washoe,32031,2019-2020,85.1,,,,,,,,,,,,,,,,,,,,,,
Washoe County,Washoe,32031,2018-2019,86,,,,,,,,,,,,,,,,,,,,,,
Washoe County,Washoe,32031,2017-2018,84.4,,,,,,,,,,,,,,,,,,,,,,
Washoe County,Washoe,32031,2016-2017,84,,,,,,,,,,,,,,,,,,,,,,
Washoe County,Washoe,32031,2015-2016,76.6,,,,,,,,,,,,,,,,,,,,,,
Washoe County,Washoe,32031,2014-2015,75,,,,,,,,,,,,,,,,,,,,,,
White Pine County,White Pine,32033,2020-2021,83.8,,,,,,,,,,,,,,,,,,,,,,
White Pine County,White Pine,32033,2019-2020,82.9,,,,,,,,,,,,,,,,,,,,,,
White Pine County,White Pine,32033,2018-2019,66.9,,,,,,,,,,,,,,,,,,,,,,
White Pine County,White Pine,32033,2017-2018,66.9,,,,,,,,,,,,,,,,,,,,,,
White Pine County,White Pine,32033,2016-2017,69.9,,,,,,,,,,,,,,,,,,,,,,
White Pine County,White Pine,32033,2015-2016,83.1,,,,,,,,,,,,,,,,,,,,,,
White Pine County,White Pine,32033,2014-2015,77,,,,,,,,,,,,,,,,,,,,,,
